,movieid,actorid,actor_movie_rank
0,3961,88481,66
1,3961,135820,44
2,3961,171770,20
3,3961,177901,10
4,3961,178740,12
5,3961,226291,48
6,3961,254211,24
7,3961,272055,22
8,3961,473272,40
9,3961,489685,58
10,3961,495390,23
11,3961,537812,54
12,3961,571000,17
13,3961,629873,9
14,3961,698041,41
15,3961,735794,35
16,3961,855628,49
17,3961,912318,57
18,3961,912638,27
19,3961,955924,37
20,3961,1009561,59
21,3961,1025554,52
22,3961,1166002,25
23,3961,1260743,11
24,3961,1366734,13
25,3961,1487520,5
26,3961,1493927,29
27,3961,1500699,55
28,3961,1647702,33
29,3961,1712337,61
30,3961,1731498,62
31,3961,1747283,14
32,3961,1779477,34
33,3961,1793283,1
34,3961,1870887,63
35,3961,1929540,4
36,3961,1937450,18
37,3961,1969807,6
38,3961,1981311,7
39,3961,1998808,46
40,3961,2035515,47
41,3961,2120846,64
42,3961,2195389,21
43,3961,2203413,30
44,3961,2319279,51
45,3961,2322920,8
46,3961,2415938,56
47,3961,2494417,65
48,3961,2501049,16
49,3961,2525094,15
50,3961,2805709,2
51,3961,2855107,28
52,3961,2870627,26
53,3961,2961547,3
54,3961,3049921,45
55,3961,3217671,19
56,3961,3376098,53
57,3961,3377577,60
58,3961,3468495,32
59,3961,3540477,50
60,3961,3613629,38
61,3961,3675012,31
62,3961,3788872,43
63,3961,3867571,39
64,3961,3908437,42
65,3961,3938327,36
66,3962,13993,36
67,3962,154794,27
68,3962,278746,11
69,3962,357454,13
70,3962,448814,39
71,3962,500739,40
72,3962,655768,10
73,3962,677233,23
74,3962,733820,32
75,3962,779260,35
76,3962,805489,21
77,3962,827166,26
78,3962,877083,2
79,3962,878571,18
80,3962,884311,3
81,3962,946135,42
82,3962,980651,9
83,3962,1119764,1
84,3962,1129545,24
85,3962,1390385,5
86,3962,1550013,31
87,3962,1578792,22
88,3962,1658074,6
89,3962,1782227,14
90,3962,1792454,28
91,3962,1936895,16
92,3962,1946879,4
93,3962,2066740,17
94,3962,2078204,29
95,3962,2087000,25
96,3962,2161620,44
97,3962,2457507,20
98,3962,2467606,30
99,3962,2648887,7
100,3962,2670427,43
101,3962,2828927,37
102,3962,2856692,41
103,3962,2924858,12
104,3962,3225418,34
105,3962,3305570,15
106,3962,3459543,8
107,3962,3486260,33
108,3962,3799503,45
109,3962,3809755,38
110,3962,3950141,47
111,3963,63934,50
112,3963,125864,17
113,3963,750473,54
114,3963,867640,10
115,3963,870727,7
116,3963,980014,44
117,3963,1198554,5
118,3963,1203901,58
119,3963,1323767,59
120,3963,1351261,60
121,3963,1420783,33
122,3963,1502924,62
123,3963,1681767,63
124,3963,1757943,30
125,3963,1883624,21
126,3963,1894771,18
127,3963,1933284,49
128,3963,1968308,19
129,3963,1975945,65
130,3963,2117108,67
131,3963,2182364,4
132,3963,2195602,11
133,3963,2239061,36
134,3963,2244202,37
135,3963,2244203,25
136,3963,2278576,2
137,3963,2420659,68
138,3963,2457849,38
139,3963,2459699,8
140,3963,2502598,39
141,3963,2595413,12
142,3963,2714407,51
143,3963,2718282,20
144,3963,2845350,22
145,3963,2846044,52
146,3963,2883038,40
147,3963,2896508,53
